stdfare,advfare,express,reffare,dest,region,datescraped,timescraped,origtime,webfare,date,transfers,orig,duration,desttime
N/A,N/A,no,$229.00,"San Francisco, CA",,2015-09-17,17:17:08.933000,11:00 AM,$215.00,09/18/2015,3,"Chicago, IL","2D, 4H, 30M",01:30 PM
$197.00,N/A,no,$220.00,"Los Angeles, CA",,2015-09-17,17:17:33.382000,01:30 AM,$152.50,09/18/2015,2,"Chicago, IL","1D, 22H, 45M",10:15 PM
$197.00,N/A,no,$220.00,"Los Angeles, CA",,2015-09-17,17:17:34.271000,01:30 AM,$134.50,09/18/2015,1,"Chicago, IL","2D, 1H, 35M",01:05 AM
$206.00,N/A,no,$229.00,"Los Angeles, CA",,2015-09-17,17:17:35.158000,11:00 AM,$161.50,09/18/2015,2,"Chicago, IL","2D, 0H, 0M",09:00 AM
$215.00,N/A,no,$240.00,"Los Angeles, CA",,2015-09-17,17:17:36.122000,06:30 PM,$188.00,09/18/2015,0,"Chicago, IL","1D, 23H, 55M",04:25 PM
$215.00,N/A,no,$240.00,"Seattle, WA",,2015-09-17,17:18:14.912000,10:40 PM,$206.00,09/18/2015,4,"Chicago, IL","1D, 20H, 55M",05:35 PM
N/A,N/A,no,$196.00,"Denver, CO",,2015-09-17,17:18:34.761000,01:30 AM,$191.00,09/18/2015,1,"Chicago, IL","22H, 50M",11:20 PM
N/A,N/A,no,$189.00,"Denver, CO",,2015-09-17,17:18:35.690000,11:00 AM,$189.00,09/18/2015,1,"Chicago, IL","20H, 50M",06:50 AM
$201.00,N/A,no,$224.00,"Denver, CO",,2015-09-17,17:18:36.503000,10:40 PM,$201.00,09/18/2015,1,"Chicago, IL","20H, 30M",06:10 PM
$119.00,N/A,no,$133.00,"New York, NY",,2015-09-17,17:19:39.726000,06:15 AM,$119.00,09/18/2015,1,"Chicago, IL","21H, 5M",04:20 AM
$131.00,N/A,no,$148.00,"New York, NY",,2015-09-17,17:19:40.863000,08:05 AM,$80.50,09/18/2015,2,"Chicago, IL","21H, 10M",06:15 AM
$104.00,N/A,no,$117.00,"New York, NY",,2015-09-17,17:19:41.956000,12:01 PM,$77.00,09/18/2015,1,"Chicago, IL","18H, 39M",07:40 AM
$115.50,N/A,yes,$129.50,"New York, NY",,2015-09-17,17:19:43.041000,05:05 PM,$77.00,09/18/2015,0,"Chicago, IL","17H, 40M",11:45 AM
$143.00,N/A,yes,$160.00,"New York, NY",,2015-09-17,17:19:43.439000,10:45 PM,$67.50,09/18/2015,1,"Chicago, IL","20H, 50M",08:35 PM
$143.00,N/A,no,$160.00,"New York, NY",,2015-09-17,17:19:43.862000,11:35 PM,$67.50,09/18/2015,2,"Chicago, IL","23H, 20M",11:55 PM
$143.00,N/A,no,$160.00,"New York, NY",,2015-09-17,17:19:45.099000,11:50 PM,$71.00,09/18/2015,1,"Chicago, IL","1D, 0H, 45M",01:35 AM
$174.00,N/A,no,$195.00,"Seattle, WA",,2015-09-17,17:19:57.204000,09:40 AM,$128.50,09/18/2015,0,"Los Angeles, CA","1D, 4H, 10M",01:50 PM
$182.00,N/A,no,$203.00,"Seattle, WA",,2015-09-17,17:19:58.053000,01:00 PM,$128.50,09/18/2015,0,"Los Angeles, CA","1D, 3H, 0M",04:00 PM
$190.00,N/A,no,$211.00,"Seattle, WA",,2015-09-17,17:19:58.953000,05:30 PM,$136.50,09/18/2015,0,"Los Angeles, CA","1D, 3H, 40M",09:10 PM
$201.00,N/A,no,$224.00,"Chicago, IL",,2015-09-17,17:20:17.147000,08:35 AM,$201.00,09/18/2015,1,"Denver, CO","20H, 10M",05:45 AM
N/A,N/A,no,$196.00,"Chicago, IL",,2015-09-17,17:20:18.100000,09:00 AM,$191.00,09/18/2015,1,"Denver, CO","1D, 0H, 10M",10:10 AM
N/A,N/A,no,$189.00,"Chicago, IL",,2015-09-17,17:20:18.969000,07:15 PM,$189.00,09/18/2015,1,"Denver, CO","19H, 20M",03:35 PM
N/A,N/A,no,$214.00,"Chicago, IL",,2015-09-17,17:20:19.894000,07:20 PM,$207.00,09/18/2015,1,"Denver, CO","23H, 40M",08:00 PM
N/A,N/A,no,$229.00,"Portland, OR",,2015-09-17,17:20:56.844000,11:00 AM,$224.00,09/18/2015,2,"Chicago, IL","2D, 7H, 20M",04:20 PM
$215.00,N/A,no,$240.00,"Portland, OR",,2015-09-17,17:20:57.875000,09:55 PM,$215.00,09/18/2015,3,"Chicago, IL","1D, 22H, 10M",06:05 PM
$215.00,N/A,no,$240.00,"Portland, OR",,2015-09-17,17:20:58.693000,10:40 PM,$215.00,09/18/2015,2,"Chicago, IL","2D, 8H, 30M",05:10 AM
$175.00,N/A,no,$200.50,"Orlando, FL",,2015-09-17,17:21:30.482000,07:30 AM,$113.50,09/18/2015,1,"New York, NY","1D, 1H, 20M",08:50 AM
$183.00,N/A,yes,$208.50,"Orlando, FL",,2015-09-17,17:21:31.511000,11:00 AM,$121.50,09/18/2015,1,"New York, NY","1D, 0H, 45M",11:45 AM
$183.00,N/A,no,$208.50,"Orlando, FL",,2015-09-17,17:21:31.857000,03:00 PM,$167.00,09/18/2015,2,"New York, NY","1D, 1H, 50M",04:50 PM
$191.00,N/A,yes,$219.00,"Orlando, FL",,2015-09-17,17:21:32.911000,09:30 PM,$145.50,09/18/2015,1,"New York, NY","1D, 1H, 40M",11:10 PM
$191.00,N/A,yes,$219.00,"Orlando, FL",,2015-09-17,17:21:33.285000,10:30 PM,$145.50,09/18/2015,0,"New York, NY","1D, 0H, 40M",11:10 PM
$153.00,N/A,no,$172.00,"New York, NY",,2015-09-17,17:21:48.242000,12:01 AM,$79.50,09/18/2015,1,"Atlanta, GA","22H, 34M",10:35 PM
SOLD OUT,N/A,no,SOLD OUT,"New York, NY",,2015-09-17,17:21:49.277000,08:25 AM,SOLD OUT,09/18/2015,2,"Atlanta, GA","21H, 55M",06:20 AM
$153.00,N/A,no,$172.00,"New York, NY",,2015-09-17,17:21:50.107000,09:10 AM,$75.50,09/18/2015,1,"Atlanta, GA","22H, 50M",08:00 AM
$160.00,N/A,yes,$179.00,"New York, NY",,2015-09-17,17:21:50.905000,02:05 PM,$75.50,09/18/2015,0,"Atlanta, GA","19H, 25M",09:30 AM
$167.00,N/A,no,$186.00,"New York, NY",,2015-09-17,17:21:51.305000,05:00 PM,$75.50,09/18/2015,2,"Atlanta, GA","19H, 10M",12:10 PM
$167.00,N/A,yes,$186.00,"New York, NY",,2015-09-17,17:21:52.353000,10:30 PM,$75.50,09/18/2015,0,"Atlanta, GA","18H, 20M",04:50 PM
$147.50,N/A,no,$164.50,"Atlanta, GA",,2015-09-17,17:22:07.990000,01:00 AM,$76.50,09/18/2015,1,"New York, NY","1D, 0H, 45M",01:45 AM
