stdfare,advfare,express,reffare,dest,region,datescraped,timescraped,origtime,webfare,date,transfers,orig,duration,desttime
$69.00 ,N/A,no,$78.00 ,Baton Rouge,Southeast,6/3/2015,33:40.5,6:00 AM,$41.00 ,6/4/2015,1,Atlanta,"11H, 50M",4:50 PM
$69.00 ,N/A,no,$78.00 ,Baton Rouge,Southeast,6/3/2015,33:41.6,7:05 AM,$36.50 ,6/4/2015,0,Atlanta,"14H, 5M",8:10 PM
$72.50 ,N/A,no,$82.50 ,Baton Rouge,Southeast,6/3/2015,33:42.6,2:20 PM,$34.00 ,6/4/2015,1,Atlanta,"10H, 55M",12:15 AM
$76.00 ,N/A,no,$86.00 ,Baton Rouge,Southeast,6/3/2015,33:43.6,7:45 PM,$34.00 ,6/4/2015,1,Atlanta,"13H, 15M",8:00 AM
$69.00 ,N/A,no,$78.00 ,Baton Rouge,Southeast,6/3/2015,33:44.4,11:35 PM,$62.50 ,6/4/2015,1,Atlanta,"11H, 35M",10:10 AM
$76.00 ,N/A,yes,$86.00 ,Baton Rouge,Southeast,6/3/2015,33:45.2,11:35 PM,$40.00 ,6/4/2015,0,Atlanta,"12H, 0M",10:35 AM
N/A,N/A,no,$174.00 ,Beaumont Vidor,Southeast,6/3/2015,34:16.4,7:05 AM,$163.00 ,6/4/2015,0,Atlanta,"18H, 15M",12:20 AM
$163.00 ,N/A,no,$182.00 ,Beaumont Vidor,Southeast,6/3/2015,34:17.4,2:20 PM,$155.00 ,6/4/2015,1,Atlanta,"14H, 40M",4:00 AM
$170.50 ,N/A,no,$191.50 ,Beaumont Vidor,Southeast,6/3/2015,34:18.2,7:45 PM,$155.00 ,6/4/2015,1,Atlanta,"16H, 45M",11:30 AM
$170.50 ,N/A,yes,$191.50 ,Beaumont Vidor,Southeast,6/3/2015,34:19.1,11:35 PM,$170.50 ,6/4/2015,0,Atlanta,"15H, 40M",2:15 PM
$37.00 ,N/A,no,$43.00 ,Birmingham,Southeast,6/3/2015,34:49.4,6:00 AM,$23.50 ,6/4/2015,0,Atlanta,"2H, 30M",7:30 AM
$37.00 ,N/A,yes,$43.00 ,Birmingham,Southeast,6/3/2015,34:50.5,8:00 AM,$20.00 ,6/4/2015,0,Atlanta,"2H, 30M",9:30 AM
$39.00 ,N/A,no,$45.00 ,Birmingham,Southeast,6/3/2015,34:50.8,10:30 AM,$20.00 ,6/4/2015,0,Atlanta,"3H, 55M",1:25 PM
$39.00 ,N/A,no,$45.00 ,Birmingham,Southeast,6/3/2015,34:51.9,2:10 PM,$20.00 ,6/4/2015,0,Atlanta,"2H, 55M",4:05 PM
